pr	round1	round2	score_r2	final	note
3283	UNCERTAIN	PRESENT	0.93	DEFERRED	PARTIAL/uncertain; needs per-PR review
3299	PRESENT	-	-	PRESENT	round1 content match >=0.70
3306	PRESENT	-	-	PRESENT	round1 content match >=0.70
3308	PRESENT	-	-	PRESENT	round1 content match >=0.70
3310	PRESENT	-	-	PRESENT	round1 content match >=0.70
3312	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3326	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3335	ABSENT	ABSENT	0.09	PRESENT	target symbol already in main (reformulated implementation)
3337	PRESENT	-	-	PRESENT	round1 content match >=0.70
3344	PRESENT	-	-	PRESENT	round1 content match >=0.70
3347	PRESENT	-	-	PRESENT	round1 content match >=0.70
3359	PRESENT	-	-	PRESENT	round1 content match >=0.70
3360	PRESENT	-	-	PRESENT	round1 content match >=0.70
3363	PRESENT	-	-	PRESENT	round1 content match >=0.70
3364	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3369	PRESENT	-	-	PRESENT	round1 content match >=0.70
3371	PRESENT	-	-	PRESENT	round1 content match >=0.70
3374	UNCERTAIN	PRESENT	0.82	DEFERRED	PARTIAL/uncertain; needs per-PR review
3375	UNCERTAIN	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3381	ABSENT	ABSENT	0.23	DEFERRED	images incomplete failover; PARTIAL vs branch tip
3395	NO_SIGNAL	EMPTY_DIFF		DEFERRED	PARTIAL/uncertain; needs per-PR review
3401	PRESENT	-	-	PRESENT	round1 content match >=0.70
3404	PRESENT	-	-	PRESENT	round1 content match >=0.70
3405	ABSENT	ABSENT	0.23	SKIP	fork uses SubscriptionUSDToCNYRate; upstream BalanceRechargeMultiplier would regress CNY conversion
3421	PRESENT	-	-	PRESENT	round1 content match >=0.70
3428	PRESENT	-	-	PRESENT	round1 content match >=0.70
3429	ABSENT	PARTIAL	0.37	DEFERRED	PARTIAL/uncertain; needs per-PR review
3430	PRESENT	-	-	PRESENT	round1 content match >=0.70
3433	PRESENT	-	-	PRESENT	round1 content match >=0.70
3434	PRESENT	-	-	PRESENT	round1 content match >=0.70
3435	PRESENT	-	-	PRESENT	round1 content match >=0.70
3436	PRESENT	-	-	PRESENT	round1 content match >=0.70
3437	PRESENT	-	-	PRESENT	round1 content match >=0.70
3441	PRESENT	-	-	PRESENT	round1 content match >=0.70
3442	PRESENT	-	-	PRESENT	round1 content match >=0.70
3457	UNCERTAIN	PARTIAL	0.57	DEFERRED	PARTIAL/uncertain; needs per-PR review
3460	PRESENT	-	-	PRESENT	round1 content match >=0.70
3467	PRESENT	-	-	PRESENT	round1 content match >=0.70
3469	UNCERTAIN	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3470	PRESENT	-	-	PRESENT	round1 content match >=0.70
3471	PRESENT	-	-	PRESENT	round1 content match >=0.70
3473	PRESENT	-	-	PRESENT	round1 content match >=0.70
3476	PRESENT	-	-	PRESENT	round1 content match >=0.70
3481	PRESENT	-	-	PRESENT	round1 content match >=0.70
3482	PRESENT	-	-	PRESENT	round1 content match >=0.70
3484	PRESENT	-	-	PRESENT	round1 content match >=0.70
3487	UNCERTAIN	PRESENT	0.83	DEFERRED	PARTIAL/uncertain; needs per-PR review
3489	PRESENT	-	-	PRESENT	round1 content match >=0.70
3490	PRESENT	-	-	PRESENT	round1 content match >=0.70
3494	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3495	PRESENT	-	-	PRESENT	round1 content match >=0.70
3497	PRESENT	-	-	PRESENT	round1 content match >=0.70
3498	PRESENT	-	-	PRESENT	round1 content match >=0.70
3509	PRESENT	-	-	PRESENT	round1 content match >=0.70
3510	PRESENT	-	-	PRESENT	round1 content match >=0.70
3515	PRESENT	-	-	PRESENT	round1 content match >=0.70
3517	PRESENT	-	-	PRESENT	round1 content match >=0.70
3532	UNCERTAIN	PARTIAL	0.39	DEFERRED	PARTIAL/uncertain; needs per-PR review
3533	PRESENT	-	-	PRESENT	round1 content match >=0.70
3534	PRESENT	-	-	PRESENT	round1 content match >=0.70
3546	UNCERTAIN	PRESENT	0.91	DEFERRED	PARTIAL/uncertain; needs per-PR review
3548	PRESENT	-	-	PRESENT	round1 content match >=0.70
3549	PRESENT	-	-	PRESENT	round1 content match >=0.70
3558	PRESENT	-	-	PRESENT	round1 content match >=0.70
3559	PRESENT	-	-	PRESENT	round1 content match >=0.70
3560	PRESENT	-	-	PRESENT	round1 content match >=0.70
3565	PRESENT	-	-	PRESENT	round1 content match >=0.70
3568	PRESENT	-	-	PRESENT	round1 content match >=0.70
3569	PRESENT	-	-	PRESENT	round1 content match >=0.70
3577	PRESENT	-	-	PRESENT	round1 content match >=0.70
3586	PRESENT	-	-	PRESENT	round1 content match >=0.70
3587	UNCERTAIN	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
3588	PRESENT	-	-	PRESENT	round1 content match >=0.70
3593	PRESENT	-	-	PRESENT	round1 content match >=0.70
3596	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3598	PRESENT	-	-	PRESENT	round1 content match >=0.70
3609	PRESENT	-	-	PRESENT	round1 content match >=0.70
3612	PRESENT	-	-	PRESENT	round1 content match >=0.70
3614	PRESENT	-	-	PRESENT	round1 content match >=0.70
3615	ABSENT	ABSENT	0.19	DEFERRED	usage IP geolocation; collides with fork usage-IP privacy divergence
3622	PRESENT	-	-	PRESENT	round1 content match >=0.70
3626	PRESENT	-	-	PRESENT	round1 content match >=0.70
3627	PRESENT	-	-	PRESENT	round1 content match >=0.70
3630	PRESENT	-	-	PRESENT	round1 content match >=0.70
3635	PRESENT	-	-	PRESENT	round1 content match >=0.70
3638	PRESENT	-	-	PRESENT	round1 content match >=0.70
3641	PRESENT	-	-	PRESENT	round1 content match >=0.70
3642	PRESENT	-	-	PRESENT	round1 content match >=0.70
3643	PRESENT	-	-	PRESENT	round1 content match >=0.70
3645	PRESENT	-	-	PRESENT	round1 content match >=0.70
3657	PRESENT	-	-	PRESENT	round1 content match >=0.70
3659	PRESENT	-	-	PRESENT	round1 content match >=0.70
3661	PRESENT	-	-	PRESENT	round1 content match >=0.70
3670	PRESENT	-	-	PRESENT	round1 content match >=0.70
3673	PRESENT	-	-	PRESENT	round1 content match >=0.70
3675	PRESENT	-	-	PRESENT	round1 content match >=0.70
3676	PRESENT	-	-	PRESENT	round1 content match >=0.70
3684	PRESENT	-	-	PRESENT	round1 content match >=0.70
3685	PRESENT	-	-	PRESENT	round1 content match >=0.70
3689	ABSENT	PARTIAL	0.32	DEFERRED	PARTIAL/uncertain; needs per-PR review
3690	UNCERTAIN	PARTIAL	0.70	DEFERRED	PARTIAL/uncertain; needs per-PR review
3692	PRESENT	-	-	PRESENT	round1 content match >=0.70
3694	PRESENT	-	-	PRESENT	round1 content match >=0.70
3696	PRESENT	-	-	PRESENT	round1 content match >=0.70
3698	PRESENT	-	-	PRESENT	round1 content match >=0.70
3699	PRESENT	-	-	PRESENT	round1 content match >=0.70
3704	PRESENT	-	-	PRESENT	round1 content match >=0.70
3708	ABSENT	PARTIAL	0.56	DEFERRED	PARTIAL/uncertain; needs per-PR review
3714	PRESENT	-	-	PRESENT	round1 content match >=0.70
3716	PRESENT	-	-	PRESENT	round1 content match >=0.70
3717	PRESENT	-	-	PRESENT	round1 content match >=0.70
3718	ABSENT	ABSENT	0.17	PRESENT	target symbol already in main (reformulated implementation)
3721	PRESENT	-	-	PRESENT	round1 content match >=0.70
3729	PRESENT	-	-	PRESENT	round1 content match >=0.70
3734	PRESENT	-	-	PRESENT	round1 content match >=0.70
3737	PRESENT	-	-	PRESENT	round1 content match >=0.70
3738	UNCERTAIN	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
3739	PRESENT	-	-	PRESENT	round1 content match >=0.70
3744	PRESENT	-	-	PRESENT	round1 content match >=0.70
3747	ABSENT	ABSENT	0.03	NO_OP	revert of #3738 which is not in main either
3749	UNCERTAIN	PARTIAL	0.36	DEFERRED	PARTIAL/uncertain; needs per-PR review
3751	PRESENT	-	-	PRESENT	round1 content match >=0.70
3755	PRESENT	-	-	PRESENT	round1 content match >=0.70
3758	UNCERTAIN	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
3759	PRESENT	-	-	PRESENT	round1 content match >=0.70
3760	PRESENT	-	-	PRESENT	round1 content match >=0.70
3761	PRESENT	-	-	PRESENT	round1 content match >=0.70
3762	PRESENT	-	-	PRESENT	round1 content match >=0.70
3767	PRESENT	-	-	PRESENT	round1 content match >=0.70
3769	NO_SIGNAL	ABSENT	0.00	SUPERSEDED	xlsx audit exception already renewed on main
3771	PRESENT	-	-	PRESENT	round1 content match >=0.70
3774	PRESENT	-	-	PRESENT	round1 content match >=0.70
3775	PRESENT	-	-	PRESENT	round1 content match >=0.70
3776	PRESENT	-	-	PRESENT	round1 content match >=0.70
3778	PRESENT	-	-	PRESENT	round1 content match >=0.70
3780	PRESENT	-	-	PRESENT	round1 content match >=0.70
3781	PRESENT	-	-	PRESENT	round1 content match >=0.70
3786	PRESENT	-	-	PRESENT	round1 content match >=0.70
3788	PRESENT	-	-	PRESENT	round1 content match >=0.70
3793	PRESENT	-	-	PRESENT	round1 content match >=0.70
3794	PRESENT	-	-	PRESENT	round1 content match >=0.70
3795	PRESENT	-	-	PRESENT	round1 content match >=0.70
3800	PRESENT	-	-	PRESENT	round1 content match >=0.70
3802	PRESENT	-	-	PRESENT	round1 content match >=0.70
3803	PRESENT	-	-	PRESENT	round1 content match >=0.70
3804	PRESENT	-	-	PRESENT	round1 content match >=0.70
3807	PRESENT	-	-	PRESENT	round1 content match >=0.70
3809	PRESENT	-	-	PRESENT	round1 content match >=0.70
3811	PRESENT	-	-	PRESENT	round1 content match >=0.70
3812	PRESENT	-	-	PRESENT	round1 content match >=0.70
3813	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3816	PRESENT	-	-	PRESENT	round1 content match >=0.70
3822	PRESENT	-	-	PRESENT	round1 content match >=0.70
3824	PRESENT	-	-	PRESENT	round1 content match >=0.70
3833	PRESENT	-	-	PRESENT	round1 content match >=0.70
3836	PRESENT	-	-	PRESENT	round1 content match >=0.70
3840	PRESENT	-	-	PRESENT	round1 content match >=0.70
3841	PRESENT	-	-	PRESENT	round1 content match >=0.70
3843	PRESENT	-	-	PRESENT	round1 content match >=0.70
3845	PRESENT	-	-	PRESENT	round1 content match >=0.70
3846	NO_SIGNAL	ABSENT	0.00	SUPERSEDED	Go toolchain PR; main already on go1.27.0 - merging would downgrade
3847	PRESENT	-	-	PRESENT	round1 content match >=0.70
3851	PRESENT	-	-	PRESENT	round1 content match >=0.70
3853	PRESENT	-	-	PRESENT	round1 content match >=0.70
3855	PRESENT	-	-	PRESENT	round1 content match >=0.70
3859	PRESENT	-	-	PRESENT	round1 content match >=0.70
3864	PRESENT	-	-	PRESENT	round1 content match >=0.70
3867	PRESENT	-	-	PRESENT	round1 content match >=0.70
3868	PRESENT	-	-	PRESENT	round1 content match >=0.70
3869	PRESENT	-	-	PRESENT	round1 content match >=0.70
3870	UNCERTAIN	PARTIAL	0.73	DEFERRED	PARTIAL/uncertain; needs per-PR review
3873	PRESENT	-	-	PRESENT	round1 content match >=0.70
3880	PRESENT	-	-	PRESENT	round1 content match >=0.70
3881	PRESENT	-	-	PRESENT	round1 content match >=0.70
3883	PRESENT	-	-	PRESENT	round1 content match >=0.70
3884	PRESENT	-	-	PRESENT	round1 content match >=0.70
3898	PRESENT	-	-	PRESENT	round1 content match >=0.70
3905	UNCERTAIN	PARTIAL	0.50	DEFERRED	PARTIAL/uncertain; needs per-PR review
3906	PRESENT	-	-	PRESENT	round1 content match >=0.70
3909	PRESENT	-	-	PRESENT	round1 content match >=0.70
3912	PRESENT	-	-	PRESENT	round1 content match >=0.70
3913	PRESENT	-	-	PRESENT	round1 content match >=0.70
3916	PRESENT	-	-	PRESENT	round1 content match >=0.70
3922	PRESENT	-	-	PRESENT	round1 content match >=0.70
3926	PRESENT	-	-	PRESENT	round1 content match >=0.70
3941	PRESENT	-	-	PRESENT	round1 content match >=0.70
3948	PRESENT	-	-	PRESENT	round1 content match >=0.70
3953	PRESENT	-	-	PRESENT	round1 content match >=0.70
3969	PRESENT	-	-	PRESENT	round1 content match >=0.70
3971	PRESENT	-	-	PRESENT	round1 content match >=0.70
3984	UNCERTAIN	PARTIAL	0.54	DEFERRED	PARTIAL/uncertain; needs per-PR review
3989	PRESENT	-	-	PRESENT	round1 content match >=0.70
3991	PRESENT	-	-	PRESENT	round1 content match >=0.70
3994	UNCERTAIN	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
3997	PRESENT	-	-	PRESENT	round1 content match >=0.70
4003	PRESENT	-	-	PRESENT	round1 content match >=0.70
4005	PRESENT	-	-	PRESENT	round1 content match >=0.70
4006	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4009	PRESENT	-	-	PRESENT	round1 content match >=0.70
4019	PRESENT	-	-	PRESENT	round1 content match >=0.70
4045	PRESENT	-	-	PRESENT	round1 content match >=0.70
4048	PRESENT	-	-	PRESENT	round1 content match >=0.70
4049	PRESENT	-	-	PRESENT	round1 content match >=0.70
4050	PRESENT	-	-	PRESENT	round1 content match >=0.70
4053	PRESENT	-	-	PRESENT	round1 content match >=0.70
4055	PRESENT	-	-	PRESENT	round1 content match >=0.70
4057	PRESENT	-	-	PRESENT	round1 content match >=0.70
4059	PRESENT	-	-	PRESENT	round1 content match >=0.70
4060	PRESENT	-	-	PRESENT	round1 content match >=0.70
4063	PRESENT	-	-	PRESENT	round1 content match >=0.70
4072	PRESENT	-	-	PRESENT	round1 content match >=0.70
4075	UNCERTAIN	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
4082	PRESENT	-	-	PRESENT	round1 content match >=0.70
4104	PRESENT	-	-	PRESENT	round1 content match >=0.70
4108	PRESENT	-	-	PRESENT	round1 content match >=0.70
4110	PRESENT	-	-	PRESENT	round1 content match >=0.70
4115	PRESENT	-	-	PRESENT	round1 content match >=0.70
4116	PRESENT	-	-	PRESENT	round1 content match >=0.70
4118	PRESENT	-	-	PRESENT	round1 content match >=0.70
4125	NO_SIGNAL	ABSENT	0.15	DEFERRED	Apple container / macos-15 CI support; infra scope
4130	UNCERTAIN	PARTIAL	0.54	DEFERRED	PARTIAL/uncertain; needs per-PR review
4134	PRESENT	-	-	PRESENT	round1 content match >=0.70
4138	PRESENT	-	-	PRESENT	round1 content match >=0.70
4139	PRESENT	-	-	PRESENT	round1 content match >=0.70
4142	PRESENT	-	-	PRESENT	round1 content match >=0.70
4143	PRESENT	-	-	PRESENT	round1 content match >=0.70
4148	PRESENT	-	-	PRESENT	round1 content match >=0.70
4150	PRESENT	-	-	PRESENT	round1 content match >=0.70
4154	PRESENT	-	-	PRESENT	round1 content match >=0.70
4161	PRESENT	-	-	PRESENT	round1 content match >=0.70
4162	PRESENT	-	-	PRESENT	round1 content match >=0.70
4163	PRESENT	-	-	PRESENT	round1 content match >=0.70
4169	PRESENT	-	-	PRESENT	round1 content match >=0.70
4173	UNCERTAIN	PRESENT	0.76	DEFERRED	PARTIAL/uncertain; needs per-PR review
4179	PRESENT	-	-	PRESENT	round1 content match >=0.70
4180	PRESENT	-	-	PRESENT	round1 content match >=0.70
4188	PRESENT	-	-	PRESENT	round1 content match >=0.70
4203	PRESENT	-	-	PRESENT	round1 content match >=0.70
4204	PRESENT	-	-	PRESENT	round1 content match >=0.70
4205	PRESENT	-	-	PRESENT	round1 content match >=0.70
4206	PRESENT	-	-	PRESENT	round1 content match >=0.70
4207	PRESENT	-	-	PRESENT	round1 content match >=0.70
4212	PRESENT	-	-	PRESENT	round1 content match >=0.70
4214	PRESENT	-	-	PRESENT	round1 content match >=0.70
4216	PRESENT	-	-	PRESENT	round1 content match >=0.70
4217	PRESENT	-	-	PRESENT	round1 content match >=0.70
4218	PRESENT	-	-	PRESENT	round1 content match >=0.70
4219	PRESENT	-	-	PRESENT	round1 content match >=0.70
4221	PRESENT	-	-	PRESENT	round1 content match >=0.70
4225	PRESENT	-	-	PRESENT	round1 content match >=0.70
4231	PRESENT	-	-	PRESENT	round1 content match >=0.70
4238	PRESENT	-	-	PRESENT	round1 content match >=0.70
4239	PRESENT	-	-	PRESENT	round1 content match >=0.70
4240	PRESENT	-	-	PRESENT	round1 content match >=0.70
4241	PRESENT	-	-	PRESENT	round1 content match >=0.70
4262	PRESENT	-	-	PRESENT	round1 content match >=0.70
4264	PRESENT	-	-	PRESENT	round1 content match >=0.70
4266	PRESENT	-	-	PRESENT	round1 content match >=0.70
4269	PRESENT	-	-	PRESENT	round1 content match >=0.70
4271	PRESENT	-	-	PRESENT	round1 content match >=0.70
4274	PRESENT	-	-	PRESENT	round1 content match >=0.70
4275	PRESENT	-	-	PRESENT	round1 content match >=0.70
4279	PRESENT	-	-	PRESENT	round1 content match >=0.70
4280	PRESENT	-	-	PRESENT	round1 content match >=0.70
4281	PRESENT	-	-	PRESENT	round1 content match >=0.70
4282	PRESENT	-	-	PRESENT	round1 content match >=0.70
4284	PRESENT	-	-	PRESENT	round1 content match >=0.70
4288	PRESENT	-	-	PRESENT	round1 content match >=0.70
4289	PRESENT	-	-	PRESENT	round1 content match >=0.70
4290	PRESENT	-	-	PRESENT	round1 content match >=0.70
4291	PRESENT	-	-	PRESENT	round1 content match >=0.70
4294	PRESENT	-	-	PRESENT	round1 content match >=0.70
4295	PRESENT	-	-	PRESENT	round1 content match >=0.70
4296	PRESENT	-	-	PRESENT	round1 content match >=0.70
4297	PRESENT	-	-	PRESENT	round1 content match >=0.70
4298	PRESENT	-	-	PRESENT	round1 content match >=0.70
4299	PRESENT	-	-	PRESENT	round1 content match >=0.70
4300	PRESENT	-	-	PRESENT	round1 content match >=0.70
4303	PRESENT	-	-	PRESENT	round1 content match >=0.70
4304	PRESENT	-	-	PRESENT	round1 content match >=0.70
4305	PRESENT	-	-	PRESENT	round1 content match >=0.70
4306	PRESENT	-	-	PRESENT	round1 content match >=0.70
4307	PRESENT	-	-	PRESENT	round1 content match >=0.70
4310	PRESENT	-	-	PRESENT	round1 content match >=0.70
4311	PRESENT	-	-	PRESENT	round1 content match >=0.70
4313	PRESENT	-	-	PRESENT	round1 content match >=0.70
4316	PRESENT	-	-	PRESENT	round1 content match >=0.70
4317	PRESENT	-	-	PRESENT	round1 content match >=0.70
4319	ABSENT	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
4323	PRESENT	-	-	PRESENT	round1 content match >=0.70
4324	PRESENT	-	-	PRESENT	round1 content match >=0.70
4333	PRESENT	-	-	PRESENT	round1 content match >=0.70
4334	PRESENT	-	-	PRESENT	round1 content match >=0.70
4339	PRESENT	-	-	PRESENT	round1 content match >=0.70
4340	PRESENT	-	-	PRESENT	round1 content match >=0.70
4341	PRESENT	-	-	PRESENT	round1 content match >=0.70
4346	PRESENT	-	-	PRESENT	round1 content match >=0.70
4358	PRESENT	-	-	PRESENT	round1 content match >=0.70
4359	PRESENT	-	-	PRESENT	round1 content match >=0.70
4367	PRESENT	-	-	PRESENT	round1 content match >=0.70
4369	PRESENT	-	-	PRESENT	round1 content match >=0.70
4376	PRESENT	-	-	PRESENT	round1 content match >=0.70
4377	PRESENT	-	-	PRESENT	round1 content match >=0.70
4379	PRESENT	-	-	PRESENT	round1 content match >=0.70
4380	PRESENT	-	-	PRESENT	round1 content match >=0.70
4381	PRESENT	-	-	PRESENT	round1 content match >=0.70
4382	PRESENT	-	-	PRESENT	round1 content match >=0.70
4384	UNCERTAIN	PARTIAL	0.72	DEFERRED	PARTIAL/uncertain; needs per-PR review
4385	PRESENT	-	-	PRESENT	round1 content match >=0.70
4387	PRESENT	-	-	PRESENT	round1 content match >=0.70
4392	PRESENT	-	-	PRESENT	round1 content match >=0.70
4393	PRESENT	-	-	PRESENT	round1 content match >=0.70
4394	PRESENT	-	-	PRESENT	round1 content match >=0.70
4395	PRESENT	-	-	PRESENT	round1 content match >=0.70
4396	PRESENT	-	-	PRESENT	round1 content match >=0.70
4400	PRESENT	-	-	PRESENT	round1 content match >=0.70
4402	PRESENT	-	-	PRESENT	round1 content match >=0.70
4404	UNCERTAIN	PARTIAL	0.40	DEFERRED	PARTIAL/uncertain; needs per-PR review
4418	PRESENT	-	-	PRESENT	round1 content match >=0.70
4424	PRESENT	-	-	PRESENT	round1 content match >=0.70
4425	PRESENT	-	-	PRESENT	round1 content match >=0.70
4427	PRESENT	-	-	PRESENT	round1 content match >=0.70
4428	PRESENT	-	-	PRESENT	round1 content match >=0.70
4429	PRESENT	-	-	PRESENT	round1 content match >=0.70
4430	PRESENT	-	-	PRESENT	round1 content match >=0.70
4431	PRESENT	-	-	PRESENT	round1 content match >=0.70
4433	PRESENT	-	-	PRESENT	round1 content match >=0.70
4434	PRESENT	-	-	PRESENT	round1 content match >=0.70
4435	UNCERTAIN	PARTIAL	0.60	DEFERRED	PARTIAL/uncertain; needs per-PR review
4450	PRESENT	-	-	PRESENT	round1 content match >=0.70
4451	PRESENT	-	-	PRESENT	round1 content match >=0.70
4459	PRESENT	-	-	PRESENT	round1 content match >=0.70
4461	PRESENT	-	-	PRESENT	round1 content match >=0.70
4462	PRESENT	-	-	PRESENT	round1 content match >=0.70
4468	PRESENT	-	-	PRESENT	round1 content match >=0.70
4474	PRESENT	-	-	PRESENT	round1 content match >=0.70
4478	PRESENT	-	-	PRESENT	round1 content match >=0.70
4479	PRESENT	-	-	PRESENT	round1 content match >=0.70
4481	PRESENT	-	-	PRESENT	round1 content match >=0.70
4484	PRESENT	-	-	PRESENT	round1 content match >=0.70
4485	PRESENT	-	-	PRESENT	round1 content match >=0.70
4489	PRESENT	-	-	PRESENT	round1 content match >=0.70
4496	PRESENT	-	-	PRESENT	round1 content match >=0.70
4497	PRESENT	-	-	PRESENT	round1 content match >=0.70
4505	PRESENT	-	-	PRESENT	round1 content match >=0.70
4506	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4507	NO_SIGNAL	PRESENT	1.00	DEFERRED	PARTIAL/uncertain; needs per-PR review
4508	PRESENT	-	-	PRESENT	round1 content match >=0.70
4515	PRESENT	-	-	PRESENT	round1 content match >=0.70
4517	PRESENT	-	-	PRESENT	round1 content match >=0.70
4520	PRESENT	-	-	PRESENT	round1 content match >=0.70
4522	PRESENT	-	-	PRESENT	round1 content match >=0.70
